ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oú priorytetowa <Kod>;Dzia≥anie <Kod>;Poddzia≥anie <Kod>;WartoúÊ ogÛ≥em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;MiejscowoúÊ;WojewÛdztwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p≥atnoúÊ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoÒczony (Wniosek o p≥atnoúÊ koÒcowπ);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
33-10;33;Projekt;Zaawansowane materia≥y i technologie ich wytwarzania ;POIG.01.01.02-00-015/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;79,577,915.20;79,577,915.20;79,577,915.20;67,641,227.92;Instytut Metali Nieøelaznych;6310200771;44-100;Gliwice;ålπskie;Powiat m. Gliwice;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;;;2011/05/18;2011/05/20
33-11;33;Projekt;Modelowe kompleksy agroenergetyczne jako przyk≥ad kogenereacji rozproszonej opartej na lokalnych i odnawialnych ürÛd≥ach energii.;POIG.01.01.02-00-016/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;40,164,641.96;39,150,873.32;39,150,873.32;33,278,242.32;Instytut Maszyn Przep≥ywowych im. Roberta Szewalskiego PAN;5840357882;80-231;GdaÒsk;Pomorskie;Powiat m. GdaÒsk;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.01.02-00-016/08-32;Nie;2011/02/24;2011/03/02
33-12;33;Projekt;Bioimplanty dla potrzeb leczenia ubytkÛw tkanki kostnej u chorych onkologicznych ;POIG.01.01.02-00-022/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;32,341,095.30;31,795,800.00;31,795,800.00;27,026,430.00;Politechnika Warszawska;5250005834;00-661;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;;;2011/05/12;2011/05/17
33-13;33;Projekt;Inøynieria Internetu Przysz≥oúci ;POIG.01.01.02-00-045/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;40,426,087.08;39,729,125.36;39,729,125.36;33,769,756.56;Politechnika Warszawska;5250005834;00-661;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;POIG.01.01.02-00-045/09-19;Nie;2011/02/15;2011/02/17
33-14;33;Projekt;Nowa øywnoúÊ bioaktywna o zaprogramowanych w≥aúciwoúciach prozdrowotnych ;POIG.01.01.02-00-061/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;39,995,510.81;35,141,315.27;35,141,315.27;29,870,117.98;Uniwersytet Przyrodniczy w Poznaniu;7770004960;60-637;PoznaÒ;Wielkopolskie;Powiat m. PoznaÒ;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;;;2011/04/20;2011/04/22
33-15;33;Projekt;årÛdb≥onek naczyniowy w chorobach cywilizacyjnych: od badaÒ poznawczych do oferty innowacyjnego leku o dzia≥aniu úrÛdb≥onkowym ;POIG.01.01.02-00-069/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;63,504,460.08;62,609,375.42;62,609,375.42;53,217,969.11;Uniwersytet JagielloÒski;6750002236;31-007;KrakÛw;Ma≥opolskie;Powiat m. KrakÛw;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;Szko≥a/Uczelnia Wyøsza;00 Nie dotyczy;;;2011/04/21;2011/04/26
33-16;33;Projekt;Biotechnologiczna konwersja glicerolu do polioli i kwasÛw dikarboksylowych ;POIG.01.01.02-00-074/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;27,667,004.53;25,724,539.10;25,724,539.10;21,865,858.24;Uniwersytet Przyrodniczy w Poznaniu;7770004960;60-637;PoznaÒ;Wielkopolskie;Powiat m. PoznaÒ;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;POIG.01.01.02-00-074/09-19;Nie;2011/03/23;2011/03/25
33-17;33;Projekt;Nowa generacja energooszczÍdnych napÍdÛw elektrycznych do pomp i wentylatorÛw dla gÛrnictwa ;POIG.01.01.02-00-113/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;14,310,151.00;13,991,378.00;13,991,378.00;11,892,671.30;Politechnika PoznaÒska;7770003699;60-965;PoznaÒ;;;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;POIG.01.01.02-00-113/09-18;Nie;2011/02/23;2011/02/25
33-18;33;Projekt;Poprawa efektywnoúci badaÒ sejsmicznych w poszukiwaniach i rozpoznawaniu z≥Ûø gazu w utworach formacji czerwonego spπgowca ;POIG.01.01.02-00-122/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;20,805,454.00;20,805,454.00;20,805,454.00;17,684,635.90;Akademia GÛrniczo-Hutnicza im. Stanis≥awa Staszica w Krakowie;6750001923;30-059;KrakÛw;Ma≥opolskie;Powiat m. KrakÛw;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;POIG.01.01.02-00-122/09-18;Nie;2011/03/04;2011/03/07
33-19;33;Projekt;Optymalizacja charakterystyki i przygotowywania preparatÛw fagowych do celÛw terapeutycznych;POIG.01.03.01-00-003/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;13,660,000.00;13,660,000.00;13,660,000.00;11,611,000.00;Instytut Immunologii i Terapii Doúwiadczalnej im. Ludwika Hirszfelda PAN;8960005696;53-114;Wroc≥aw;Dolnoúlπskie;Powiat m. Wroc≥aw;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-003/08-09;Nie;2011/02/15;2011/02/18
