ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oú priorytetowa <Kod>;Dzia≥anie <Kod>;Poddzia≥anie <Kod>;WartoúÊ ogÛ≥em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;MiejscowoúÊ;WojewÛdztwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p≥atnoúÊ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoÒczony (Wniosek o p≥atnoúÊ koÒcowπ);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
33-86;33;Projekt;Platforma Informatyczna TEWI;POIG.02.03.00-00-028/09-05;Program Operacyjny Innowacyjna Gospodarka;POIG.02.00.00;POIG.02.03.00;;13,523,131.20;13,523,131.20;13,523,131.20;11,494,661.52;Politechnika £Ûdzka;7270021895;90-924;£Ûdü;£Ûdzkie;Powiat m. £Ûdü;11 Technologie informacyjne i komunikacyjne (dostÍp, bezpieczeÒstwo, interoperacyjnoúÊ, zapobieganie zagroøeniom, badania, innowacje, treúci cyfrowe itp.);uczelnia wyøsza;00 Nie dotyczy;;;2011/05/17;2011/05/17
33-87;33;Projekt;Infrastruktura informatyczna Narodowego Centrum Badania Kondycji Fizycznej (NCBKF);POIG.02.03.00-00-030/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.02.00.00;POIG.02.03.00;;5,166,416.00;4,675,150.00;4,675,150.00;3,973,877.50;Akademia Wychowania Fizycznego JÛzefa Pi≥sudskiego w Warszawie;5250011875;00-968;Warszawa;;;11 Technologie informacyjne i komunikacyjne (dostÍp, bezpieczeÒstwo, interoperacyjnoúÊ, zapobieganie zagroøeniom, badania, innowacje, treúci cyfrowe itp.);uczelnia wyøsza;00 Nie dotyczy;POIG.02.03.00-00-030/09-16;Nie;2011/03/30;2011/03/31
33-88;33;Projekt;Rozbudowa 21 úrodowiskowych sieci teleinformatycznych nauki - NewMAN;POIG.02.03.01-00-041/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.02.00.00;POIG.02.03.00;POIG.02.03.01;80,746,802.82;77,994,230.00;77,994,230.00;66,295,095.50;Instytut Chemii Bioorganicznej PAN;7770002062;61-704;PoznaÒ;Wielkopolskie;Powiat m. PoznaÒ;02 Infrastruktura B+RT (w tym wyposaøenie w sprzÍt, oprzyrzπdowanie i szybkie sieci informatyczne ≥πczπce oúrodki badawcze) oraz specjalistyczne oúrodki kompetencji technologicznych;jednostka naukowa;00 Nie dotyczy;POIG.02.03.01-00-041/09-11;Nie;2011/01/19;2011/01/19
33-89;33;Projekt;Laboratorium Technik Semantycznych w Informatyce (LTS);POIG.02.03.01-00-074/10-01;Program Operacyjny Innowacyjna Gospodarka;POIG.02.00.00;POIG.02.03.00;POIG.02.03.01;5,667,890.00;5,149,120.00;5,149,120.00;4,376,752.00;Instytut Technik Innowacyjnych EMAG;6340125399;40-189;Katowice;ålπskie;Powiat m. Katowice;02 Infrastruktura B+RT (w tym wyposaøenie w sprzÍt, oprzyrzπdowanie i szybkie sieci informatyczne ≥πczπce oúrodki badawcze) oraz specjalistyczne oúrodki kompetencji technologicznych;jednostka naukowa;00 Nie dotyczy;POIG.02.03.01-00-074/10-03;Nie;2011/03/30;2011/03/31
33-90;33;Projekt;Repozytorium Cyfrowe InstytutÛw Naukowych;POIG.02.03.02-00-043/10-01;Program Operacyjny Innowacyjna Gospodarka;POIG.02.00.00;POIG.02.03.00;POIG.02.03.02;36,347,949.15;36,347,949.15;36,347,949.15;30,895,756.77;Muzeum i Instytut Zoologii Polskiej Akademii Nauk;5250008689;00-679;Warszawa;Mazowieckie;Powiat m. st. Warszawa;11 Technologie informacyjne i komunikacyjne (dostÍp, bezpieczeÒstwo, interoperacyjnoúÊ, zapobieganie zagroøeniom, badania, innowacje, treúci cyfrowe itp.);jednostka naukowa;00 Nie dotyczy;;;2011/05/30;2011/05/31
33-91;33;Projekt;"""MAYDAY EURO 2012"" Superkomputerowa platforma kontekstowej analizy strumieni danych multimedialnych do identyfikacji wyspecyfikowanych obiektÛw lub niebezpiecznych zdarzeÒ";POIG.02.03.03-00-008/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.02.00.00;POIG.02.03.00;POIG.02.03.03;16,316,384.00;16,316,384.00;16,316,384.00;13,868,926.40;Politechnika GdaÒska;5840203593;80-952;GdaÒsk;;;11 Technologie informacyjne i komunikacyjne (dostÍp, bezpieczeÒstwo, interoperacyjnoúÊ, zapobieganie zagroøeniom, badania, innowacje, treúci cyfrowe itp.);uczelnia wyøsza;00 Nie dotyczy;POIG.02.03.03-00-008/08-25;Nie;2011/02/22;2011/01/17
33-92;33;Projekt;IQ Advisors - inkubator technologii informacyjnych i komunikacyjnych;POIG.03.01.00-00-001/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;18,043,804.16;17,687,040.00;17,687,040.00;15,033,984.00;Ventures Hub Sp. z o.o.;1132706683;03-938;Warszawa;Mazowieckie;Powiat m. st. Warszawa;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - úrednie przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.01.00-00-001/09-04-K01;Nie;2011/03/15;2011/03/16
33-93;33;Projekt;Fabryka Innowacji;POIG.03.01.00-00-002/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;19,623,879.04;19,623,879.04;19,623,879.04;16,680,297.18;Fundacja Towarzystwo Ekonomiczno - Spo≥eczne;5342193163;02-691;Warszawa;Mazowieckie;Powiat m. st. Warszawa;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);fundacja;00 Nie dotyczy;;;2011/04/08;2011/04/13
33-94;33;Projekt;ZwiÍkszenie liczby innowacyjnych przedsiÍbiorstw poprzez dwuetapowe wsparcie  pomys≥odawcÛw projektÛw innowacyjnych;POIG.03.01.00-00-003/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;22,557,992.52;22,557,992.52;22,557,992.52;19,174,293.64;AKCELERATOR INNOWACJI NOT SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;5252448033;00-050;Warszawa;Mazowieckie;Powiat m. st. Warszawa;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - duøe przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.01.00-00-003/09-05;Nie;2011/03/29;2011/03/29
33-95;33;Projekt;LMS DigitalFarm - kapita≥ dla innowacyjnych przedsiÍwziÍÊ marketingowych;POIG.03.01.00-00-003/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;9,566,120.00;9,566,120.00;9,566,120.00;8,131,202.00;LMS SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;7781451409;61-734;PoznaÒ;Wielkopolskie;Powiat m. PoznaÒ;"62 RozwÛj systemÛw i strategii uczenia siÍ przez ca≥e øycie w przedsiÍbiorstwach; szkolenia i us≥ugi na rzecz zwiÍkszenia zdolnoúci adaptacyjnych pracownikÛw do zmian; promowanie przedsiÍbiorczoúci i innowacji";spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - mikro przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.01.00-00-003/10-01;Nie;2011/04/04;2011/04/07
33-96;33;Projekt;InQbe ñ inkubator projektÛw technologicznych i internetowych;POIG.03.01.00-00-004/08-10;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;20,469,444.82;20,469,444.82;20,469,444.82;17,399,028.10;InQbe Sp. z o. o.;5242568712;10-950;Olsztyn;;;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - úrednie przedsiÍbiorstwo;00 Nie dotyczy;;;2011/05/12;2011/05/31
33-97;33;Projekt;INNOWACJA KLUCZEM DO SUKCESU;POIG.03.01.00-00-005/08-06;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;20,527,749.78;20,527,749.78;20,527,749.78;17,448,587.31;Be≥chatowsko Kleszczowski Park Przemys≥owo Technologiczny Sp. z o.o.;7692018378;97-400;Be≥chatÛw;£Ûdzkie;Powiat be≥chatowski;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - duøe przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.01.00-00-005/08-09;Nie;2011/03/14;2011/03/14
33-98;33;Projekt;incuBIT.NETable - Instytut preinkubacji i komercjalizacji przedsiÍwziÍÊ opartych na technologiach sektora Internet/Mobile;POIG.03.01.00-00-006/08-07;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;18,663,083.14;18,663,083.14;18,663,083.14;15,863,620.67;Trinity Adventure SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;6751391866;50-079;Wroc≥aw;Dolnoúlπskie;Powiat m. Wroc≥aw;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - ma≥e przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.01.00-00-006/08-14;Nie;2011/03/25;2011/04/04
33-99;33;Projekt;ÑSpeedUp IQbator ñ inteligentny kapita≥ dla innowacyjnych przedsiewziecî;POIG.03.01.00-00-008/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;14,397,567.50;14,397,567.50;14,397,567.50;12,237,932.38;SpeedUp IQbator Sp. z o.o.;7781461566;61-775;Poznan;Wielkopolskie;Powiat m. PoznaÒ;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - mikro przedsiÍbiorstwo;00 Nie dotyczy;;;2011/03/15;2011/04/13
33-100;33;Projekt;S2B Science 2 Business Inkubator Innowacyjnosci;POIG.03.01.00-00-009/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;19,616,681.48;19,616,681.48;19,616,681.48;16,674,179.26;"Fundacja Na Rzecz Budowy Spo≥eczeÒstwa Opartego Na Wiedzy ""Nowe Media""";7393369041;10-718;Olsztyn;WarmiÒsko-mazurskie;Powiat m. Olsztyn;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);fundacja;00 Nie dotyczy;POIG.03.01.00-00-009/09-05;Nie;2011/03/23;2011/03/28
33-101;33;Projekt;NICKEL INKUBATOR ñ wsparcie innowacyjnych pomys≥Ûw biznesowych;POIG.03.01.00-00-010/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;9,475,478.00;9,475,478.00;9,475,478.00;8,054,156.30;Nickel Technology Park PoznaÒ sp. z o.o.;7811719243;62-002;Z≥otniki;Wielkopolskie;Powiat poznaÒski;"62 RozwÛj systemÛw i strategii uczenia siÍ przez ca≥e øycie w przedsiÍbiorstwach; szkolenia i us≥ugi na rzecz zwiÍkszenia zdolnoúci adaptacyjnych pracownikÛw do zmian; promowanie przedsiÍbiorczoúci i innowacji";spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - úrednie przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.01.00-00-010/10-01;Nie;2011/03/25;2011/04/06
33-102;33;Projekt;KIGMED.eu - Inkubator Innowacyjnych Technologii dla e-Medycyny;POIG.03.01.00-00-011/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;9,965,404.00;9,965,404.00;9,965,404.00;8,470,593.40;Krajowa Izba Gospodarcza;5260001708;00-074;Warszawa;Mazowieckie;Powiat m. st. Warszawa;"62 RozwÛj systemÛw i strategii uczenia siÍ przez ca≥e øycie w przedsiÍbiorstwach; szkolenia i us≥ugi na rzecz zwiÍkszenia zdolnoúci adaptacyjnych pracownikÛw do zmian; promowanie przedsiÍbiorczoúci i innowacji";samorzπd gospodarczy i zawodowy;00 Nie dotyczy;POIG.03.01.00-00-011/10-01;Nie;2011/03/21;2011/03/21
33-103;33;Projekt;Inicjowanie innowacyjnych przedsiÍwziÍÊ gospodarczych wykorzystujπcych potencja≥ lotnictwa lekkiego;POIG.03.01.00-00-012/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;10,811,006.00;10,742,600.00;10,742,600.00;9,131,210.00;Bielski Park Technologiczny Lotnictwa, PrzedsiÍbiorczoúci i Innowacji Sp. z o.o.;5480018674;43-512;KaniÛw;ålπskie;Powiat bielski;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - ma≥e przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.01.00-00-012/09-06;Nie;2011/03/24;2011/03/28
33-104;33;Projekt;Zainwestujmy w Innowacje - Inkubator Technologiczny;POIG.03.01.00-00-012/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;9,810,200.00;9,810,200.00;9,810,200.00;7,357,650.00;Centrum Innowacji i Transferu Technologii Lubelskiego Parku Naukowo - Technologicznego Sp. z o.o.;9462394541;20-262;Lublin;Lubelskie;Powiat m. Lublin;"62 RozwÛj systemÛw i strategii uczenia siÍ przez ca≥e øycie w przedsiÍbiorstwach; szkolenia i us≥ugi na rzecz zwiÍkszenia zdolnoúci adaptacyjnych pracownikÛw do zmian; promowanie przedsiÍbiorczoúci i innowacji";spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - ma≥e przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.01.00-00-012/10-01;Nie;2011/03/15;2011/03/16
33-105;33;Projekt;Akcelerator EIT+ spÛ≥ek innowacyjnych o hybrydowym profilu branøowym;POIG.03.01.00-00-013/09-06;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;13,226,104.29;13,047,700.00;13,047,700.00;11,090,545.00;Wroc≥awskie Centrum BadaÒ EIT+ Sp.z.o.o;8942930022;54-066;WROC£AW;Dolnoúlπskie;Powiat m. Wroc≥aw;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - duøe przedsiÍbiorstwo;00 Nie dotyczy;;;2011/04/28;2011/05/11
33-106;33;Projekt;Inkubowanie nowych innowacyjnych spÛ≥ek w Krakowskim Parku Technologicznym;POIG.03.01.00-00-015/09-05;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;20,177,214.06;20,177,214.06;20,177,214.06;17,150,631.95;Fundusz Zalπøkowy KPT SP. z o.o.;6751410670;31-864;KrakÛw;Ma≥opolskie;Powiat m. KrakÛw;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - duøe przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.01.00-00-015/09-06;Nie;2011/05/06;2011/05/10
33-107;33;Projekt;Inkubator Innowacji;POIG.03.01.00-00-015/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;9,164,600.00;9,164,600.00;9,164,600.00;7,789,910.00;PoznaÒski Akademicki Inkubator PrzedsiÍbiorczoúci;9721127971;60-536;PoznaÒ;Wielkopolskie;Powiat m. PoznaÒ;"62 RozwÛj systemÛw i strategii uczenia siÍ przez ca≥e øycie w przedsiÍbiorstwach; szkolenia i us≥ugi na rzecz zwiÍkszenia zdolnoúci adaptacyjnych pracownikÛw do zmian; promowanie przedsiÍbiorczoúci i innowacji";stowarzyszenie;00 Nie dotyczy;POIG.03.01.00-00-015/10-01;Nie;2011/03/25;2011/04/05
33-108;33;Projekt;Dofinansowanie projektu wsparcia innowacyjnych przedsiÍwziÍÊ przez ARP S.A. w latach 2010 ñ 2015;POIG.03.01.00-00-017/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;17,961,409.55;17,961,409.55;17,961,409.55;15,267,198.12;Agencja Rozwoju Pomorza S.A.;5830002002;80-387;GdaÒsk;Pomorskie;Powiat m. GdaÒsk;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);spÛ≥ka akcyjna - duøe przedsiÍbiorstwo;00 Nie dotyczy;;;2011/05/17;2011/05/20
33-109;33;Projekt;Karpacki Akcelerator Innowacji Informatycznych;POIG.03.01.00-00-023/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;3,993,480.00;3,993,480.00;3,993,480.00;3,394,458.00;Instytut Karpacki;7343010817;33-300;Nowy Sacz;Ma≥opolskie;Powiat m. Nowy Sπcz / Powiat nowosπdecki;07 Inwestycje w przedsiÍbiorstwa bezpoúrednio zwiπzane z dziedzinπ badaÒ i innowacji (innowacyjne technologie, tworzenie przedsiÍbiorstw przez uczelnie, istniejπce oúrodki B+RT i przedsiÍbiorstwa itp.);fundacja;00 Nie dotyczy;;;2011/04/06;2011/04/19
33-110;33;Projekt;Siec InwestorÛw KPT jako platforma wspierania inwestycji w MSP;POIG.03.03.01-00-001/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;992,672.73;992,672.73;992,672.73;843,771.82;Krakowski Park Technologiczny Sp. z o.o;6751157834;31-864;KrakÛw;Ma≥opolskie;Powiat m. KrakÛw;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - duøe przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.03.01-00-001/09-06;Nie;2011/04/21;2011/04/26
33-111;33;Projekt;Gildia Anio≥Ûw Biznesu;POIG.03.03.01-00-005/09-06;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;7,457,764.95;7,457,764.95;7,457,764.95;6,339,100.21;£Ûdzka Agencja Rozwoju Regionalnego S.A. ;7250005574;90-002;£Ûdü ;£Ûdzkie;Powiat m. £Ûdü;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka akcyjna - duøe przedsiÍbiorstwo;00 Nie dotyczy;;;2011/04/18;2011/05/11
33-112;33;Projekt;VENTURE MULTITOUCH - wielop≥aszczyznowa platforma dostarczania inteligentnego kapita≥u przedsiÍbiorstwom technologicznym.;POIG.03.03.01-00-018/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;3,195,958.00;3,195,958.00;3,195,958.00;2,716,564.30;SpeedUp IQbator Sp. z o.o.;7781461566;61-775;PoznaÒ;Wielkopolskie;Powiat m. PoznaÒ;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - mikro przedsiÍbiorstwo;00 Nie dotyczy;;;2011/04/08;2011/04/22
33-113;33;Projekt;OgÛlnopolska sieÊ inwestorÛw prywatnych - aktywizacja oraz kojarzenie inwestorÛw ze úrodowiskiem MSP;POIG.03.03.01-00-021/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;6,500,595.06;6,500,595.06;6,500,595.06;5,525,505.80;Trinity Capital Business Network spÛ≥ka z ograniczonπ odpowiedzialnoúciπ spÛ≥ka komandytowa;8971742168;50-079;Wroc≥aw;Dolnoúlπskie;Powiat m. Wroc≥aw;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka komandytowa - mikro przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.03.01-00-021/09-06;Nie;2011/03/02;2011/03/02
33-114;33;Projekt;Finansuj.pl;POIG.03.03.01-00-023/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;3,757,545.00;3,757,545.00;3,757,545.00;3,193,913.25;Fundacja Obserwatorium Zarzπdzania;7010000181;00-586;Warszawa;Mazowieckie;Powiat m. st. Warszawa;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;fundacja;00 Nie dotyczy;;;2011/02/28;2011/03/29
33-115;33;Projekt;Inwestycje kapita≥owe dla innowacyjnych przedsiÍwziÍÊ;POIG.03.03.01-00-024/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;1,733,705.91;1,589,533.75;1,589,533.75;1,351,103.68;Agencja Rozwoju Lokalnego SA;6320011505;43-600;Jaworzno;ålπskie;Powiat m. Jaworzno;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka akcyjna - ma≥e przedsiÍbiorstwo;00 Nie dotyczy;;;2011/03/02;2011/03/29
33-116;33;Projekt;Platforma HI-TECH. System Identyfikowania i Wspierania Inwestycji w Zaawansowane Technologie;POIG.03.03.01-00-031/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;1,393,155.04;1,393,155.04;1,393,155.04;1,184,181.78;INVESTIN SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;5252245152;00-660;Warszawa;Mazowieckie;Powiat m. st. Warszawa;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - mikro przedsiÍbiorstwo;00 Nie dotyczy;;;2011/02/25;2011/02/25
33-117;33;Projekt;Ponadregionalna SieÊ Anio≥Ûw Biznesu - Innowacja ;POIG.03.03.01-00-032/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;9,023,370.00;9,023,370.00;9,023,370.00;7,669,864.50;Fundacja Instytut Nauk Ekonomicznych i Spo≥ecznych;9512248392;02-792;Warszawa;Mazowieckie;Powiat m. st. Warszawa;"62 RozwÛj systemÛw i strategii uczenia siÍ przez ca≥e øycie w przedsiÍbiorstwach; szkolenia i us≥ugi na rzecz zwiÍkszenia zdolnoúci adaptacyjnych pracownikÛw do zmian; promowanie przedsiÍbiorczoúci i innowacji";fundacja;00 Nie dotyczy;POIG.03.03.01-00-032/09-02-K01;Nie;2011/02/08;2011/02/14
33-118;33;Projekt;Aktywizacja i podnoszenie kompetencji podmiotÛw rynku anio≥Ûw biznesu w Polsce;POIG.03.03.01-00-855/08-09;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;14,624,246.00;14,624,246.00;14,624,246.00;12,430,609.10;Polska Konfederacja PracodawcÛw Prywatnych Lewiatan;5262353400;00-591;Warszawa;Mazowieckie;Powiat m. st. Warszawa;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;organizacja pracodawcÛw;00 Nie dotyczy;POIG.03.03.01-00-855/08-14;Nie;2011/03/18;2011/03/18
33-119;33;Projekt;Inwestycje w innowacyjne przedsiÍwziÍcia z sektora MSP;POIG.03.03.01-00-866/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;3,593,898.04;3,593,898.04;3,593,898.04;3,054,813.33;Dolnoúlπska Agencja Rozwoju Regionalnego S.A;8860003433;58-300;Wa≥brzych;Dolnoúlπskie;Powiat wa≥brzyski;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka akcyjna - duøe przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.03.01-00-866/08-10;Nie;2011/05/12;2011/05/13
33-120;33;Projekt;SIE∆ INWESTOR”W PRYWATNYCH SATUS;POIG.03.03.01-00-869/08-07;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;6,503,509.73;6,503,509.73;6,503,509.73;5,527,983.27;SATUS Venture Sp. z o.o. ;9372456190;30-063;KrakÛw;Ma≥opolskie;Powiat m. KrakÛw;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - duøe przedsiÍbiorstwo;00 Nie dotyczy;POIG.03.03.01-00-869/08-11;Nie;2011/03/25;2011/03/25
